jd,mjd,mag,emag,corrmag,filter,UTC,redshift
2459968.011,59967.511,18.05489972,0.094162002,18.9620963,ZTF_r,2023-01-23T12:15:50Z,0.025
2459968.011,59967.511,18.05486153,0.094161935,18.96205888,ZTF_r,2023-01-23T12:15:50Z,0.025
2459969.996,59969.49644,18.23271591,0.063452244,19.56848424,ZTF_r,2023-01-25T11:54:52Z,0.025
2459969.996,59969.49644,18.23270041,0.063451998,19.56847294,ZTF_r,2023-01-25T11:54:52Z,0.025
2459970.015,59969.51514,19.19171561,0.116821133,19.86479787,ZTF_g,2023-01-25T12:21:48Z,0.025
2459970.015,59969.51514,19.19170033,0.116820998,19.86478383,ZTF_g,2023-01-25T12:21:48Z,0.025
2459972.013,59971.51296,18.25242239,0.023250038,20.67824902,ZTF_r,2023-01-27T12:18:40Z,0.025
2459972.013,59971.51296,18.25239967,0.023250001,20.67822804,ZTF_r,2023-01-27T12:18:40Z,0.025
2459972.018,59971.51752,18.23313406,0.047007422,19.89460376,sdssr,2023-01-27T12:25:13Z,0.025
2459973.018,59972.51772,18.19843302,0.066694938,19.48008664,ZTF_r,2023-01-28T12:25:30Z,0.025
2459973.018,59972.51772,18.1984009,0.066694997,19.48005354,ZTF_r,2023-01-28T12:25:30Z,0.025
2459973.029,59972.52885,19.30684487,0.14503102,19.74507841,ZTF_g,2023-01-28T12:41:33Z,0.025
2459973.029,59972.52885,19.30680113,0.145031005,19.74503478,ZTF_g,2023-01-28T12:41:33Z,0.025
2459979.994,59979.49384,18.43234074,0.081981376,19.48993852,ZTF_r,2023-02-04T11:51:08Z,0.025
2459979.994,59979.49384,18.43230079,0.081981003,19.4899035,ZTF_r,2023-02-04T11:51:08Z,0.025
2459984.062,59983.56175,18.61450207,0.059210736,20.0253867,ZTF_r,2023-02-08T13:28:55Z,0.025
2459985.014,59984.51388,18.62260055,0.116052002,19.30285475,ZTF_r,2023-02-09T12:19:58Z,0.025
2459985.014,59984.51388,18.62259696,0.116052188,19.30284941,ZTF_r,2023-02-09T12:19:58Z,0.025
2459987.998,59987.49777,18.71030046,0.108402997,19.46458302,ZTF_r,2023-02-12T11:56:46Z,0.025
2459987.998,59987.49777,18.71029865,0.108402573,19.46458547,ZTF_r,2023-02-12T11:56:46Z,0.025
2459993.959,59993.45855,18.74049976,0.103348002,19.54663034,ZTF_r,2023-02-18T11:00:18Z,0.025
2459993.959,59993.45855,18.74047473,0.103348464,19.54660046,ZTF_r,2023-02-18T11:00:18Z,0.025
2459993.969,59993.46868,19.75900094,0.245335996,19.62648354,ZTF_g,2023-02-18T11:14:54Z,0.025
2459996.969,59996.46946,20.19059969,0.227533996,20.13986974,ZTF_g,2023-02-21T11:16:00Z,0.025
2459997.013,59996.51251,18.81472781,0.093588673,19.72855538,ZTF_r,2023-02-21T12:18:01Z,0.025
2459997.013,59996.51251,18.81469917,0.093589,19.72852294,ZTF_r,2023-02-21T12:18:01Z,0.025
2460020.869,60020.36887,18.94934106,0.067258805,20.22185398,ZTF_r,2023-03-17T08:51:09Z,0.025
2460020.869,60020.36887,18.94930109,0.067258999,20.22181089,ZTF_r,2023-03-17T08:51:09Z,0.025
2460021.006,60020.50568,19.88069935,0.189796001,20.0268675,ZTF_g,2023-03-17T12:08:11Z,0.025
2460021.006,60020.50568,19.88065551,0.189796388,20.02682144,ZTF_g,2023-03-17T12:08:11Z,0.025
2460029.974,60029.4742,18.95174067,0.085641786,19.96191216,ZTF_r,2023-03-26T11:22:51Z,0.025
2460029.974,60029.4742,18.95170045,0.085642003,19.9618692,ZTF_r,2023-03-26T11:22:51Z,0.025
2460030.997,60030.49662,18.82954434,0.118351035,19.48849998,ZTF_i,2023-03-27T11:55:08Z,0.025
2460030.997,60030.49662,18.82950025,0.118350998,19.48845623,ZTF_i,2023-03-27T11:55:08Z,0.025
2460032.883,60032.38274,18.95722792,0.096734084,19.8351649,ZTF_r,2023-03-29T09:11:09Z,0.025
